City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
228,Taicheng,CN,38.731,113.228,58.44,90,100,2.15,light rain
229,Baykit,RU,61.67,96.37,53.76,60,90,4.94,overcast clouds
230,Taoudenni,ML,22.6783,-3.9836,107.67,6,59,7.23,broken clouds
231,Kanigoro,ID,-8.13,112.219,72.68,95,98,3.13,overcast clouds
232,Karratha,AU,-20.7377,116.8463,72.64,79,0,8.34,clear sky
233,Kununurra,AU,-15.7667,128.7333,66.18,30,80,6.91,broken clouds
234,Hami,CN,42.8,93.45,75.09,10,0,5.26,clear sky
235,Kholmsk,RU,47.0511,142.0569,44.89,96,99,6.02,overcast clouds
236,Srednekolymsk,RU,67.45,153.6833,52.5,58,7,1.52,clear sky
237,Constitucion,CL,-35.3333,-72.4167,60.3,45,11,3.06,few clouds
238,Santa Rosa,PH,14.3122,121.1114,84.18,82,80,2.08,broken clouds
239,Atambua,ID,-9.1061,124.8925,69.53,83,100,6.67,overcast clouds
240,Birao,CF,10.2849,22.7882,73.65,79,100,6.38,light rain
241,Correntina,BR,-13.3433,-44.6367,90.66,18,5,3.09,clear sky
242,Bundaberg,AU,-24.85,152.35,49.21,77,100,5.01,overcast clouds
243,Aksum,ET,14.1245,38.7244,72.73,25,0,4.43,clear sky
244,Luanda,AO,-8.8368,13.2343,77.0,69,20,6.91,few clouds
245,Atuona,PF,-9.8,-139.0333,77.5,67,7,14.23,clear sky
246,Quatre Cocos,MU,-20.2078,57.7625,73.51,72,100,18.3,overcast clouds
247,Tignere,CM,7.3667,12.65,65.7,91,21,2.98,light rain
248,Thompson,CA,55.7435,-97.8558,66.36,42,40,6.91,scattered clouds
249,Katsuura,JP,35.1333,140.3,64.92,94,100,23.42,moderate rain
250,Saint-Joseph,RE,-21.3667,55.6167,66.58,78,24,12.91,few clouds
251,South Lake Tahoe,US,38.9332,-119.9844,80.8,22,0,10.36,clear sky
252,Naryan-Mar,RU,67.6713,53.087,40.96,66,64,10.76,broken clouds
253,Copiapo,CL,-27.3667,-70.3333,56.89,33,0,4.68,clear sky
254,Jaffna,LK,9.6685,80.0074,82.36,85,100,22.79,overcast clouds
255,Jingdezhen,CN,29.2947,117.2079,69.39,88,100,3.71,overcast clouds
256,Alyangula,AU,-13.8483,136.4192,69.82,64,100,12.93,overcast clouds
257,Mehamn,NO,71.0357,27.8492,44.51,81,100,11.74,overcast clouds
258,Saint George,US,37.1041,-113.5841,105.64,12,60,4.0,broken clouds
259,Nuoro,IT,40.3211,9.3297,66.99,46,0,1.43,clear sky
260,Naze,JP,28.3667,129.4833,72.52,88,100,9.17,overcast clouds
261,Pevek,RU,69.7008,170.3133,39.72,58,53,7.85,broken clouds
262,San Jose,US,37.3394,-121.895,94.84,30,20,8.99,few clouds
263,Itoman,JP,26.1247,127.6694,77.02,92,100,8.05,overcast clouds
264,Portobelo,PA,9.55,-79.65,84.11,80,100,2.06,overcast clouds
265,Yumen,CN,40.2833,97.2,63.19,11,0,5.46,clear sky
266,Grindavik,IS,63.8424,-22.4338,53.55,81,75,18.41,broken clouds
267,Sorland,NO,67.667,12.6934,49.86,91,87,6.78,overcast clouds
268,Tatawin,TN,32.9297,10.4518,77.63,36,0,8.52,clear sky
269,Celestun,MX,20.8667,-90.4,87.69,58,0,9.22,clear sky
270,Ponte De Sor,PT,39.2496,-8.0101,87.67,40,0,13.78,clear sky
271,Daru,PG,-9.0763,143.2092,77.7,89,100,15.79,overcast clouds
272,Serdobsk,RU,52.4586,44.2169,62.55,80,60,6.91,broken clouds
273,Baruun-Urt,MN,46.6806,113.2792,52.47,63,94,6.24,overcast clouds
274,Bilma,NE,18.6853,12.9164,97.65,12,0,3.4,clear sky
275,Kontagora,NG,10.3999,5.4695,81.1,59,87,4.61,light rain
